ticker,date
AAPL,2015-01-27
AAPL,2015-04-27
AAPL,2015-07-21
AAPL,2015-10-27
AAPL,2016-01-26
AAPL,2016-04-26
AAPL,2016-07-26
AAPL,2016-10-25
AAPL,2017-01-31
AAPL,2017-05-02
AAPL,2017-08-01
AAPL,2017-11-02
AAPL,2018-02-01
AAPL,2018-05-01
AAPL,2018-07-31
AAPL,2018-11-01
AAPL,2019-01-29
AAPL,2019-04-30
AAPL,2019-07-30
AAPL,2019-10-30
AAPL,2020-01-28
AAPL,2020-04-30
AAPL,2020-07-30
AAPL,2020-10-29
AAPL,2021-01-27
AAPL,2021-04-28
AAPL,2021-07-27
AAPL,2021-10-28
AAPL,2022-01-27
AAPL,2022-04-28
AAPL,2022-07-28
AAPL,2022-10-27
AAPL,2023-02-02
AAPL,2023-05-04
AAPL,2023-08-03
AAPL,2023-11-02
AAPL,2024-02-01
AAPL,2024-05-02
AAPL,2024-08-01
AAPL,2024-10-31
AAPL,2025-01-30
AAPL,2025-05-01
AAPL,2025-07-31
AAPL,2025-10-30
AAPL,2026-01-29
AAPL,2026-04-30
AAPL,2026-07-30
AAPL,2026-10-29
AMZN,2015-01-29
AMZN,2015-04-23
AMZN,2015-07-23
AMZN,2015-10-22
AMZN,2016-01-28
AMZN,2016-04-28
AMZN,2016-07-28
AMZN,2016-10-27
AMZN,2017-02-02
AMZN,2017-04-27
AMZN,2017-07-27
AMZN,2017-10-26
AMZN,2018-02-01
AMZN,2018-04-26
AMZN,2018-07-26
AMZN,2018-10-25
AMZN,2019-01-31
AMZN,2019-04-25
AMZN,2019-07-25
AMZN,2019-10-24
AMZN,2020-01-30
AMZN,2020-04-30
AMZN,2020-07-30
AMZN,2020-10-29
AMZN,2021-02-02
AMZN,2021-04-29
AMZN,2021-07-29
AMZN,2021-10-28
AMZN,2022-02-03
AMZN,2022-04-28
AMZN,2022-07-28
AMZN,2022-10-27
AMZN,2023-02-02
AMZN,2023-04-27
AMZN,2023-08-03
AMZN,2023-10-26
AMZN,2024-02-01
AMZN,2024-04-30
AMZN,2024-08-01
AMZN,2024-10-31
AMZN,2025-02-06
AMZN,2025-05-01
AMZN,2025-07-31
AMZN,2025-10-30
AMZN,2026-02-05
AMZN,2026-04-29
AMZN,2026-07-30
AMZN,2026-10-29
AVGO,2015-02-25
AVGO,2015-05-28
AVGO,2015-08-26
AVGO,2015-12-02
AVGO,2016-03-03
AVGO,2016-06-02
AVGO,2016-09-01
AVGO,2016-12-08
AVGO,2017-03-01
AVGO,2017-06-01
AVGO,2017-08-24
AVGO,2017-12-06
AVGO,2018-03-15
AVGO,2018-06-07
AVGO,2018-09-06
AVGO,2018-12-06
AVGO,2019-03-14
AVGO,2019-06-13
AVGO,2019-09-12
AVGO,2019-12-12
AVGO,2020-03-12
AVGO,2020-06-04
AVGO,2020-09-03
AVGO,2020-12-10
AVGO,2021-03-04
AVGO,2021-06-03
AVGO,2021-09-02
AVGO,2021-12-09
AVGO,2022-03-03
AVGO,2022-05-26
AVGO,2022-09-01
AVGO,2022-12-08
AVGO,2023-03-02
AVGO,2023-06-01
AVGO,2023-08-31
AVGO,2023-12-07
AVGO,2024-03-07
AVGO,2024-06-12
AVGO,2024-09-05
AVGO,2024-12-12
AVGO,2025-03-06
AVGO,2025-06-05
AVGO,2025-09-04
AVGO,2025-12-11
AVGO,2026-03-04
AVGO,2026-06-03
AVGO,2026-09-02
AVGO,2026-12-09
GOOGL,2015-01-29
GOOGL,2015-04-23
GOOGL,2015-07-16
GOOGL,2015-10-22
GOOGL,2016-02-01
GOOGL,2016-04-21
GOOGL,2016-07-28
GOOGL,2016-10-27
GOOGL,2017-01-26
GOOGL,2017-04-27
GOOGL,2017-07-24
GOOGL,2017-10-26
GOOGL,2018-02-01
GOOGL,2018-04-23
GOOGL,2018-07-23
GOOGL,2018-10-25
GOOGL,2019-02-04
GOOGL,2019-04-29
GOOGL,2019-07-25
GOOGL,2019-10-28
GOOGL,2020-02-03
GOOGL,2020-04-28
GOOGL,2020-07-30
GOOGL,2020-10-29
GOOGL,2021-02-02
GOOGL,2021-04-27
GOOGL,2021-07-27
GOOGL,2021-10-26
GOOGL,2022-02-01
GOOGL,2022-04-26
GOOGL,2022-07-26
GOOGL,2022-10-25
GOOGL,2023-02-02
GOOGL,2023-04-25
GOOGL,2023-07-25
GOOGL,2023-10-24
GOOGL,2024-01-30
GOOGL,2024-04-25
GOOGL,2024-07-23
GOOGL,2024-10-29
GOOGL,2025-02-04
GOOGL,2025-04-24
GOOGL,2025-07-23
GOOGL,2025-10-29
GOOGL,2026-02-04
GOOGL,2026-04-29
GOOGL,2026-07-22
GOOGL,2026-10-28
META,2015-01-28
META,2015-04-22
META,2015-07-29
META,2015-11-04
META,2016-01-27
META,2016-04-27
META,2016-07-27
META,2016-11-02
META,2017-02-01
META,2017-05-03
META,2017-07-26
META,2017-11-01
META,2018-01-31
META,2018-04-25
META,2018-07-25
META,2018-10-30
META,2019-01-30
META,2019-04-24
META,2019-07-24
META,2019-10-30
META,2020-01-29
META,2020-04-29
META,2020-07-30
META,2020-10-29
META,2021-01-27
META,2021-04-28
META,2021-07-28
META,2021-10-25
META,2022-02-02
META,2022-04-27
META,2022-07-27
META,2022-10-26
META,2023-02-01
META,2023-04-26
META,2023-07-26
META,2023-10-25
META,2024-02-01
META,2024-04-24
META,2024-07-31
META,2024-10-30
META,2025-01-29
META,2025-04-30
META,2025-07-30
META,2025-10-29
META,2026-01-28
META,2026-04-29
META,2026-07-29
META,2026-10-28
MSFT,2015-01-26
MSFT,2015-04-23
MSFT,2015-07-21
MSFT,2015-10-22
MSFT,2016-01-28
MSFT,2016-04-21
MSFT,2016-07-19
MSFT,2016-10-20
MSFT,2017-01-26
MSFT,2017-04-27
MSFT,2017-07-20
MSFT,2017-10-26
MSFT,2018-01-31
